Linux 5.15.0-171-generic (test1orca) 	03/23/26 	_x86_64_	(4 CPU)

13:38:59     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
13:39:31     all    1.77    0.00    2.28    0.00    0.00    0.25    0.00    0.00    0.00   95.70
13:39:32     all    2.53    0.00    1.77    0.00    0.00    0.25    0.00    0.00    0.00   95.45
13:39:33     all    1.75    0.00    3.01    0.00    0.00    0.25    0.00    0.00    0.00   94.99
13:39:34     all    2.27    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   94.70
13:39:35     all    2.27    0.00    2.77    0.00    0.00    0.00    0.00    0.00    0.00   94.96
13:39:36     all    2.52    0.00    2.52    0.00    0.00    0.00    0.00    0.00    0.00   94.96
13:39:37     all    2.28    0.00    2.03    0.00    0.00    0.00    0.00    0.00    0.00   95.69
13:39:38     all    2.77    0.00    1.76    0.00    0.00    0.00    0.00    0.00    0.00   95.47
13:39:39     all    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
13:39:40     all    2.27    0.00    2.52    0.00    0.00    0.00    0.00    0.00    0.00   95.21
13:39:41     all    2.04    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   95.93
13:39:42     all    2.00    0.00    3.74    0.00    0.00    0.00    0.00    0.00    0.00   94.26
13:39:43     all    1.75    0.00    3.75    0.00    0.00    0.00    0.00    0.00    0.00   94.50
13:39:44     all    2.76    0.00    2.26    0.00    0.00    0.00    0.00    0.00    0.00   94.99
13:39:45     all    2.51    0.00    3.27    0.00    0.00    0.00    0.00    0.00    0.00   94.22
13:39:46     all    2.24    0.00    2.99    0.00    0.00    0.25    0.00    0.00    0.00   94.51
13:39:47     all    1.26    0.00    1.76    0.25    0.00    0.00    0.00    0.00    0.00   96.73
13:39:48     all    0.76    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.23
13:39:49     all    1.51    0.00    1.76    0.00    0.00    0.00    0.00    0.00    0.00   96.73
13:39:50     all    1.78    0.00    2.03    0.00    0.00    0.00    0.00    0.00    0.00   96.19
13:39:51     all    2.02    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.96
13:39:52     all    2.01    0.00    2.51    0.00    0.00    0.00    0.00    0.00    0.00   95.48
13:39:53     all    2.27    0.00    1.77    0.00    0.00    0.00    0.00    0.00    0.00   95.96
13:39:54     all    2.02    0.00    2.02    0.00    0.00    0.50    0.00    0.00    0.00   95.47
13:39:55     all    2.02    0.00    2.27    0.00    0.00    0.00    0.00    0.00    0.00   95.71
13:39:56     all    2.01    0.00    2.51    0.00    0.00    0.00    0.00    0.00    0.00   95.48
13:39:57     all    1.74    0.00    1.99    0.25    0.00    0.00    0.00    0.00    0.00   96.03
13:39:58     all    0.25    0.00    0.51    0.00    0.00    0.00    0.00    0.00    0.00   99.24
13:39:59     all    1.51    0.00    1.51    0.00    0.00    0.00    0.00    0.00    0.00   96.98
13:40:00     all    1.79    0.00    1.53    0.00    0.00    0.00    0.00    0.00    0.00   96.68
13:40:01     all    2.75    0.00    2.50    0.00    0.00    0.00    0.00    0.00    0.00   94.75
13:40:02     all    1.78    0.00    1.78    0.00    0.00    0.00    0.00    0.00    0.00   96.45
13:40:03     all    2.51    0.00    2.26    0.00    0.00    0.00    0.00    0.00    0.00   95.24
13:40:04     all    1.51    0.00    2.51    0.00    0.00    0.00    0.00    0.00    0.00   95.98
13:40:05     all    3.02    0.00    2.01    0.00    0.00    0.00    0.00    0.00    0.00   94.97
13:40:06     all    2.52    0.00    2.27    0.00    0.00    0.00    0.00    0.00    0.00   95.21
13:40:07     all    1.76    0.00    1.76    0.00    0.00    0.25    0.00    0.00    0.00   96.23
13:40:08     all    0.50    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   98.74
13:40:09     all    2.02    0.00    2.27    0.00    0.00    0.00    0.00    0.00    0.00   95.72
13:40:10     all    2.30    0.00    1.79    0.00    0.00    0.00    0.00    0.00    0.00   95.92
13:40:11     all    1.52    0.00    1.77    0.00    0.00    0.00    0.00    0.00    0.00   96.72
13:40:12     all    2.26    0.00    2.26    0.00    0.00    0.00    0.00    0.00    0.00   95.48
13:40:13     all    2.78    0.00    1.52    0.00    0.00    0.00    0.00    0.00    0.00   95.71
13:40:14     all    2.53    0.00    2.03    0.00    0.00    0.00    0.00    0.00    0.00   95.44
13:40:15     all    2.01    0.00    2.01    0.25    0.00    0.00    0.00    0.00    0.00   95.73
13:40:16     all    2.26    0.00    2.26    0.00    0.00    0.50    0.00    0.00    0.00   94.99
13:40:17     all    1.01    0.00    1.51    0.00    0.00    0.00    0.00    0.00    0.00   97.49
13:40:18     all    1.52    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   97.73
13:40:19     all    2.02    0.00    2.27    0.00    0.00    0.00    0.00    0.00    0.00   95.72
13:40:20     all    1.52    0.00    2.03    0.00    0.00    0.00    0.00    0.00    0.00   96.46
13:40:21     all    1.52    0.00    2.53    0.00    0.00    0.00    0.00    0.00    0.00   95.96
13:40:22     all    2.03    0.00    1.78    0.00    0.00    0.25    0.00    0.00    0.00   95.94
13:40:23     all    2.00    0.00    3.25    0.00    0.00    0.00    0.00    0.00    0.00   94.75
13:40:24     all    2.28    0.00    1.52    0.00    0.00    0.00    0.00    0.00    0.00   96.19
13:40:25     all    1.26    0.00    2.53    0.00    0.00    0.00    0.00    0.00    0.00   96.21
13:40:26     all    1.52    0.00    1.52    0.00    0.00    0.00    0.00    0.00    0.00   96.95
13:40:27     all    0.50    0.00    0.76    0.00    0.00    0.00    0.00    0.00    0.00   98.74
13:40:28     all    1.75    0.00    2.01    0.00    0.00    0.00    0.00    0.00    0.00   96.24
13:40:29     all    2.02    0.00    1.51    0.00    0.00    0.25    0.00    0.00    0.00   96.22
13:40:30     all    1.26    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.73
13:40:31     all    2.75    0.00    2.00    0.00    0.00    0.25    0.00    0.00    0.00   95.00
13:40:32     all    2.02    0.00    1.76    0.25    0.00    0.00    0.00    0.00    0.00   95.97
13:40:33     all    2.27    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.72
13:40:34     all    2.02    0.00    2.52    0.00    0.00    0.00    0.00    0.00    0.00   95.47
13:40:35     all    2.03    0.00    1.77    0.00    0.00    0.00    0.25    0.00    0.00   95.95
