image,phase,client_id,total_duration_s,total_bytes,layer_digest_short,layer_duration_s,layer_size,layer_status,layer_cache_status
python,2_warm_A,5,3.158,410464994,sha256:9da421ddeb65,1.8512,67778971,200,unknown
python,2_warm_A,5,3.158,410464994,sha256:a793e3c6bce8,3.1424,236030458,200,unknown
python,2_warm_A,5,3.158,410464994,sha256:10c3183ecaa6,0.2543,6085049,200,unknown
python,2_warm_A,5,3.158,410464994,sha256:15991188a884,0.8120,25656055,200,unknown
python,2_warm_A,5,3.158,410464994,sha256:5142ad1c6011,0.0319,250,200,unknown
python,2_warm_A,6,3.157,410464994,sha256:299c82f5afaa,0.0314,6525,200,unknown
python,2_warm_A,6,3.157,410464994,sha256:866771c43bf5,1.5396,49293124,200,unknown
python,2_warm_A,6,3.157,410464994,sha256:ed881fbf1b07,0.8673,25614562,200,unknown
python,2_warm_A,6,3.157,410464994,sha256:9da421ddeb65,1.8517,67778971,200,unknown
python,2_warm_A,6,3.157,410464994,sha256:a793e3c6bce8,3.1375,236030458,200,unknown
python,2_warm_A,6,3.157,410464994,sha256:10c3183ecaa6,0.2566,6085049,200,unknown
python,2_warm_A,6,3.157,410464994,sha256:15991188a884,1.1979,25656055,200,unknown
python,2_warm_A,6,3.157,410464994,sha256:5142ad1c6011,0.0312,250,200,unknown
python,2_warm_A,7,3.155,410464994,sha256:299c82f5afaa,0.0310,6525,200,unknown
python,2_warm_A,7,3.155,410464994,sha256:866771c43bf5,1.5256,49293124,200,unknown
python,2_warm_A,7,3.155,410464994,sha256:ed881fbf1b07,0.7943,25614562,200,unknown
python,2_warm_A,7,3.155,410464994,sha256:9da421ddeb65,2.0011,67778971,200,unknown
python,2_warm_A,7,3.155,410464994,sha256:a793e3c6bce8,3.1333,236030458,200,unknown
python,2_warm_A,7,3.155,410464994,sha256:10c3183ecaa6,0.2251,6085049,200,unknown
python,2_warm_A,7,3.155,410464994,sha256:15991188a884,0.9120,25656055,200,unknown
python,2_warm_A,7,3.155,410464994,sha256:5142ad1c6011,0.0289,250,200,unknown
python,2_warm_A,8,3.155,410464994,sha256:299c82f5afaa,0.0285,6525,200,unknown
python,2_warm_A,8,3.155,410464994,sha256:866771c43bf5,1.4917,49293124,200,unknown
python,2_warm_A,8,3.155,410464994,sha256:ed881fbf1b07,0.7873,25614562,200,unknown
python,2_warm_A,8,3.155,410464994,sha256:9da421ddeb65,1.8564,67778971,200,unknown
python,2_warm_A,8,3.155,410464994,sha256:a793e3c6bce8,3.1308,236030458,200,unknown
python,2_warm_A,8,3.155,410464994,sha256:10c3183ecaa6,0.2301,6085049,200,unknown
python,2_warm_A,8,3.155,410464994,sha256:15991188a884,0.8117,25656055,200,unknown
python,2_warm_A,8,3.155,410464994,sha256:5142ad1c6011,0.0267,250,200,unknown
python,2_warm_A,9,3.153,410464994,sha256:299c82f5afaa,0.0264,6525,200,unknown
python,2_warm_A,9,3.153,410464994,sha256:866771c43bf5,1.4924,49293124,200,unknown
python,2_warm_A,9,3.153,410464994,sha256:ed881fbf1b07,0.8070,25614562,200,unknown
python,2_warm_A,9,3.153,410464994,sha256:9da421ddeb65,1.8464,67778971,200,unknown
python,2_warm_A,9,3.153,410464994,sha256:a793e3c6bce8,3.1255,236030458,200,unknown
python,2_warm_A,9,3.153,410464994,sha256:10c3183ecaa6,0.1972,6085049,200,unknown
python,2_warm_A,9,3.153,410464994,sha256:15991188a884,0.7483,25656055,200,unknown
python,2_warm_A,9,3.153,410464994,sha256:5142ad1c6011,0.0243,250,200,unknown
node,3_cold_B,0,33.346,398105662,sha256:c757e338c34e,0.0564,6749,200,unknown
node,3_cold_B,0,33.346,398105662,sha256:6a7e0620566c,17.0302,48488777,200,unknown
node,3_cold_B,0,33.346,398105662,sha256:aab3b37e4807,9.7975,24038450,200,unknown
node,3_cold_B,0,33.346,398105662,sha256:fa27031269f0,20.4521,64395853,200,unknown
node,3_cold_B,0,33.346,398105662,sha256:c032818082ff,33.3431,211511102,200,unknown
node,3_cold_B,0,33.346,398105662,sha256:d7c06b313a3b,0.0527,3321,200,unknown
node,3_cold_B,0,33.346,398105662,sha256:5deb59bf774c,16.6365,48410294,200,unknown
node,3_cold_B,0,33.346,398105662,sha256:73cc2a4f3388,0.1479,1250671,200,unknown
node,3_cold_B,0,33.346,398105662,sha256:d4df152001f9,0.0485,445,200,unknown
node,3_cold_B,1,33.346,398105662,sha256:c757e338c34e,0.0523,6749,200,unknown
node,3_cold_B,1,33.346,398105662,sha256:6a7e0620566c,17.0267,48488777,200,unknown
node,3_cold_B,1,33.346,398105662,sha256:aab3b37e4807,9.7946,24038450,200,unknown
node,3_cold_B,1,33.346,398105662,sha256:fa27031269f0,20.4492,64395853,200,unknown
node,3_cold_B,1,33.346,398105662,sha256:c032818082ff,33.3396,211511102,200,unknown
node,3_cold_B,1,33.346,398105662,sha256:d7c06b313a3b,0.0489,3321,200,unknown
node,3_cold_B,1,33.346,398105662,sha256:5deb59bf774c,16.6340,48410294,200,unknown
node,3_cold_B,1,33.346,398105662,sha256:73cc2a4f3388,0.1447,1250671,200,unknown
node,3_cold_B,1,33.346,398105662,sha256:d4df152001f9,0.0462,445,200,unknown
node,3_cold_B,2,33.346,398105662,sha256:c757e338c34e,0.0496,6749,200,unknown
node,3_cold_B,2,33.346,398105662,sha256:6a7e0620566c,17.0233,48488777,200,unknown
node,3_cold_B,2,33.346,398105662,sha256:aab3b37e4807,9.7916,24038450,200,unknown
node,3_cold_B,2,33.346,398105662,sha256:fa27031269f0,20.4459,64395853,200,unknown
node,3_cold_B,2,33.346,398105662,sha256:c032818082ff,33.3372,211511102,200,unknown
node,3_cold_B,2,33.346,398105662,sha256:d7c06b313a3b,0.0467,3321,200,unknown
node,3_cold_B,2,33.346,398105662,sha256:5deb59bf774c,16.6312,48410294,200,unknown
node,3_cold_B,2,33.346,398105662,sha256:73cc2a4f3388,0.1422,1250671,200,unknown
node,3_cold_B,2,33.346,398105662,sha256:d4df152001f9,0.0429,445,200,unknown
node,3_cold_B,3,33.346,398105662,sha256:c757e338c34e,0.0467,6749,200,unknown
node,3_cold_B,3,33.346,398105662,sha256:6a7e0620566c,17.0209,48488777,200,unknown
node,3_cold_B,3,33.346,398105662,sha256:aab3b37e4807,9.7889,24038450,200,unknown
node,3_cold_B,3,33.346,398105662,sha256:fa27031269f0,20.4434,64395853,200,unknown
node,3_cold_B,3,33.346,398105662,sha256:c032818082ff,33.3344,211511102,200,unknown
node,3_cold_B,3,33.346,398105662,sha256:d7c06b313a3b,0.0434,3321,200,unknown
node,3_cold_B,3,33.346,398105662,sha256:5deb59bf774c,16.6283,48410294,200,unknown
node,3_cold_B,3,33.346,398105662,sha256:73cc2a4f3388,0.1395,1250671,200,unknown
node,3_cold_B,3,33.346,398105662,sha256:d4df152001f9,0.0402,445,200,unknown
node,3_cold_B,4,33.346,398105662,sha256:c757e338c34e,0.0438,6749,200,unknown
node,3_cold_B,4,33.346,398105662,sha256:6a7e0620566c,17.0182,48488777,200,unknown
node,3_cold_B,4,33.346,398105662,sha256:aab3b37e4807,9.7861,24038450,200,unknown
node,3_cold_B,4,33.346,398105662,sha256:fa27031269f0,20.4405,64395853,200,unknown
node,3_cold_B,4,33.346,398105662,sha256:c032818082ff,33.3312,211511102,200,unknown
node,3_cold_B,4,33.346,398105662,sha256:d7c06b313a3b,0.0413,3321,200,unknown
node,3_cold_B,4,33.346,398105662,sha256:5deb59bf774c,16.6256,48410294,200,unknown
node,3_cold_B,4,33.346,398105662,sha256:73cc2a4f3388,0.1367,1250671,200,unknown
node,3_cold_B,4,33.346,398105662,sha256:d4df152001f9,0.0376,445,200,unknown
node,3_cold_B,5,33.346,398105662,sha256:c757e338c34e,0.0410,6749,200,unknown
node,3_cold_B,5,33.346,398105662,sha256:6a7e0620566c,17.0152,48488777,200,unknown
node,3_cold_B,5,33.346,398105662,sha256:aab3b37e4807,9.7832,24038450,200,unknown
node,3_cold_B,5,33.346,398105662,sha256:fa27031269f0,20.4380,64395853,200,unknown
node,3_cold_B,5,33.346,398105662,sha256:c032818082ff,33.3290,211511102,200,unknown
node,3_cold_B,5,33.346,398105662,sha256:d7c06b313a3b,0.0387,3321,200,unknown
node,3_cold_B,5,33.346,398105662,sha256:5deb59bf774c,16.6220,48410294,200,unknown
node,3_cold_B,5,33.346,398105662,sha256:73cc2a4f3388,0.1335,1250671,200,unknown
node,3_cold_B,5,33.346,398105662,sha256:d4df152001f9,0.0350,445,200,unknown
node,3_cold_B,6,33.346,398105662,sha256:c757e338c34e,0.0383,6749,200,unknown
node,3_cold_B,6,33.346,398105662,sha256:6a7e0620566c,17.0125,48488777,200,unknown
node,3_cold_B,6,33.346,398105662,sha256:aab3b37e4807,9.7805,24038450,200,unknown
node,3_cold_B,6,33.346,398105662,sha256:fa27031269f0,20.4350,64395853,200,unknown
node,3_cold_B,6,33.346,398105662,sha256:c032818082ff,33.3261,211511102,200,unknown
node,3_cold_B,6,33.346,398105662,sha256:d7c06b313a3b,0.0356,3321,200,unknown
node,3_cold_B,6,33.346,398105662,sha256:5deb59bf774c,16.6200,48410294,200,unknown
node,3_cold_B,6,33.346,398105662,sha256:73cc2a4f3388,0.1306,1250671,200,unknown
node,3_cold_B,6,33.346,398105662,sha256:d4df152001f9,0.0322,445,200,unknown
node,3_cold_B,7,33.346,398105662,sha256:c757e338c34e,0.0342,6749,200,unknown
node,3_cold_B,7,33.346,398105662,sha256:6a7e0620566c,17.0085,48488777,200,unknown
node,3_cold_B,7,33.346,398105662,sha256:aab3b37e4807,9.7766,24038450,200,unknown
node,3_cold_B,7,33.346,398105662,sha256:fa27031269f0,20.4312,64395853,200,unknown
node,3_cold_B,7,33.346,398105662,sha256:c032818082ff,33.3219,211511102,200,unknown
node,3_cold_B,7,33.346,398105662,sha256:d7c06b313a3b,0.0321,3321,200,unknown
node,3_cold_B,7,33.346,398105662,sha256:5deb59bf774c,16.6163,48410294,200,unknown
node,3_cold_B,7,33.346,398105662,sha256:73cc2a4f3388,0.1269,1250671,200,unknown
node,3_cold_B,7,33.346,398105662,sha256:d4df152001f9,0.0284,445,200,unknown
node,3_cold_B,8,33.346,398105662,sha256:c757e338c34e,0.0314,6749,200,unknown
node,3_cold_B,8,33.346,398105662,sha256:6a7e0620566c,17.0059,48488777,200,unknown
node,3_cold_B,8,33.346,398105662,sha256:aab3b37e4807,9.7738,24038450,200,unknown
node,3_cold_B,8,33.346,398105662,sha256:fa27031269f0,20.4283,64395853,200,unknown
node,3_cold_B,8,33.346,398105662,sha256:c032818082ff,33.3194,211511102,200,unknown
node,3_cold_B,8,33.346,398105662,sha256:d7c06b313a3b,0.0289,3321,200,unknown
node,3_cold_B,8,33.346,398105662,sha256:5deb59bf774c,16.6132,48410294,200,unknown
node,3_cold_B,8,33.346,398105662,sha256:73cc2a4f3388,0.1241,1250671,200,unknown
node,3_cold_B,8,33.346,398105662,sha256:d4df152001f9,0.0252,445,200,unknown
node,3_cold_B,9,33.346,398105662,sha256:c757e338c34e,0.0288,6749,200,unknown
node,3_cold_B,9,33.346,398105662,sha256:6a7e0620566c,17.0028,48488777,200,unknown
node,3_cold_B,9,33.346,398105662,sha256:aab3b37e4807,9.7708,24038450,200,unknown
node,3_cold_B,9,33.346,398105662,sha256:fa27031269f0,20.4253,64395853,200,unknown
node,3_cold_B,9,33.346,398105662,sha256:c032818082ff,33.3164,211511102,200,unknown
node,3_cold_B,9,33.346,398105662,sha256:d7c06b313a3b,0.0263,3321,200,unknown
node,3_cold_B,9,33.346,398105662,sha256:5deb59bf774c,16.6103,48410294,200,unknown
node,3_cold_B,9,33.346,398105662,sha256:73cc2a4f3388,0.1211,1250671,200,unknown
node,3_cold_B,9,33.346,398105662,sha256:d4df152001f9,0.0225,445,200,unknown
python,4_recheck_A,0,26.030,410464994,sha256:299c82f5afaa,0.0499,6525,200,unknown
python,4_recheck_A,0,26.030,410464994,sha256:866771c43bf5,12.1671,49293124,200,unknown
python,4_recheck_A,0,26.030,410464994,sha256:ed881fbf1b07,6.6044,25614562,200,unknown
python,4_recheck_A,0,26.030,410464994,sha256:9da421ddeb65,1.0719,67778971,200,unknown
python,4_recheck_A,0,26.030,410464994,sha256:a793e3c6bce8,26.0269,236030458,200,unknown
python,4_recheck_A,0,26.030,410464994,sha256:10c3183ecaa6,0.1435,6085049,200,unknown
python,4_recheck_A,0,26.030,410464994,sha256:15991188a884,0.5779,25656055,200,unknown
python,4_recheck_A,0,26.030,410464994,sha256:5142ad1c6011,0.0399,250,200,unknown
python,4_recheck_A,1,26.030,410464994,sha256:299c82f5afaa,0.0435,6525,200,unknown
python,4_recheck_A,1,26.030,410464994,sha256:866771c43bf5,12.1638,49293124,200,unknown
python,4_recheck_A,1,26.030,410464994,sha256:ed881fbf1b07,6.6015,25614562,200,unknown
python,4_recheck_A,1,26.030,410464994,sha256:9da421ddeb65,1.0293,67778971,200,unknown
python,4_recheck_A,1,26.030,410464994,sha256:a793e3c6bce8,26.0250,236030458,200,unknown
python,4_recheck_A,1,26.030,410464994,sha256:10c3183ecaa6,0.1782,6085049,200,unknown
python,4_recheck_A,1,26.030,410464994,sha256:15991188a884,0.5568,25656055,200,unknown
python,4_recheck_A,1,26.030,410464994,sha256:5142ad1c6011,0.0377,250,200,unknown
python,4_recheck_A,2,26.030,410464994,sha256:299c82f5afaa,0.0412,6525,200,unknown
python,4_recheck_A,2,26.030,410464994,sha256:866771c43bf5,12.1616,49293124,200,unknown
python,4_recheck_A,2,26.030,410464994,sha256:ed881fbf1b07,6.5992,25614562,200,unknown
python,4_recheck_A,2,26.030,410464994,sha256:9da421ddeb65,1.0713,67778971,200,unknown
python,4_recheck_A,2,26.030,410464994,sha256:a793e3c6bce8,26.0221,236030458,200,unknown
python,4_recheck_A,2,26.030,410464994,sha256:10c3183ecaa6,0.1722,6085049,200,unknown
python,4_recheck_A,2,26.030,410464994,sha256:15991188a884,0.6315,25656055,200,unknown
python,4_recheck_A,2,26.030,410464994,sha256:5142ad1c6011,0.0355,250,200,unknown
python,4_recheck_A,3,26.030,410464994,sha256:299c82f5afaa,0.0400,6525,200,unknown
python,4_recheck_A,3,26.030,410464994,sha256:866771c43bf5,12.1595,49293124,200,unknown
python,4_recheck_A,3,26.030,410464994,sha256:ed881fbf1b07,6.5971,25614562,200,unknown
python,4_recheck_A,3,26.030,410464994,sha256:9da421ddeb65,1.0621,67778971,200,unknown
python,4_recheck_A,3,26.030,410464994,sha256:a793e3c6bce8,26.0202,236030458,200,unknown
python,4_recheck_A,3,26.030,410464994,sha256:10c3183ecaa6,0.1630,6085049,200,unknown
python,4_recheck_A,3,26.030,410464994,sha256:15991188a884,0.6053,25656055,200,unknown
