Linux 5.15.0-171-generic (test1orca) 	03/24/26 	_x86_64_	(4 CPU)

15:32:06     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
15:33:31     all    1.01    0.00    0.76    0.25    0.00    0.00    0.00    0.00    0.00   97.98
15:33:32     all    2.56    0.00    2.56    0.00    0.00    0.51    0.26    0.00    0.00   94.12
15:33:33     all    7.98    0.00    7.73    0.00    0.00    5.24    0.00    0.00    0.00   79.05
15:33:34     all    2.04    0.00    2.29    0.00    0.00    0.25    0.00    0.00    0.00   95.42
15:33:35     all    2.03    0.00    2.53    0.00    0.00    0.00    0.00    0.00    0.00   95.44
15:33:36     all    2.77    0.00    2.02    0.00    0.00    0.25    0.00    0.00    0.00   94.96
15:33:37     all    2.02    0.00    2.27    0.00    0.00    0.00    0.00    0.00    0.00   95.71
15:33:38     all    1.79    0.00    1.53    0.00    0.00    0.00    0.00    0.00    0.00   96.68
15:33:39     all    1.75    0.00    2.51    0.00    0.00    0.00    0.00    0.00    0.00   95.74
15:33:40     all    1.76    0.00    2.27    0.00    0.00    0.00    0.00    0.00    0.00   95.97
15:33:41     all    0.25    0.00    1.26    0.00    0.00    0.00    0.00    0.00    0.00   98.49
15:33:42     all    2.04    0.00    1.53    0.00    0.00    0.00    0.00    0.00    0.00   96.44
15:33:43     all    2.27    0.00    2.53    0.00    0.00    0.00    0.00    0.00    0.00   95.20
15:33:44     all    2.03    0.00    2.03    0.00    0.00    0.00    0.00    0.00    0.00   95.94
15:33:45     all    2.27    0.00    2.27    0.00    0.00    0.00    0.25    0.00    0.00   95.21
15:33:46     all    1.76    0.00    2.76    0.25    0.00    0.00    0.00    0.00    0.00   95.23
15:33:47     all    1.53    0.00    2.04    0.00    0.00    0.00    0.00    0.00    0.00   96.43
15:33:48     all    2.24    0.00    2.99    0.00    0.00    0.00    0.00    0.00    0.00   94.76
15:33:49     all    2.52    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   95.47
15:33:50     all    0.76    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   98.74
15:33:51     all    1.52    0.00    1.27    0.00    0.00    0.00    0.00    0.00    0.00   97.21
15:33:52     all    2.78    0.00    1.77    0.00    0.00    0.00    0.00    0.00    0.00   95.44
15:33:53     all    2.28    0.00    2.28    0.00    0.00    0.00    0.00    0.00    0.00   95.43
15:33:54     all    1.52    0.00    2.03    0.00    0.00    0.00    0.00    0.00    0.00   96.46
15:33:55     all    1.77    0.00    1.77    0.00    0.00    0.25    0.00    0.00    0.00   96.20
15:33:56     all    2.01    0.00    2.51    0.00    0.00    0.25    0.00    0.00    0.00   95.23
15:33:57     all    2.51    0.00    2.01    0.00    0.00    0.00    0.00    0.00    0.00   95.49
15:33:58     all    1.78    0.00    2.29    0.00    0.00    0.00    0.00    0.00    0.00   95.93
15:33:59     all    1.51    0.00    1.51    0.00    0.00    0.00    0.00    0.00    0.00   96.98
15:34:00     all    0.50    0.00    1.51    0.00    0.00    0.00    0.00    0.00    0.00   97.98
15:34:01     all    2.51    0.00    2.26    0.00    0.00    0.25    0.00    0.00    0.00   94.99
15:34:02     all    2.26    0.00    2.26    0.00    0.00    0.00    0.00    0.00    0.00   95.49
15:34:03     all    2.27    0.00    1.77    0.00    0.00    0.25    0.00    0.00    0.00   95.71
15:34:04     all    2.27    0.00    2.27    0.00    0.00    0.00    0.00    0.00    0.00   95.45
15:34:05     all    2.28    0.00    2.53    0.00    0.00    0.00    0.00    0.00    0.00   95.19
15:34:06     all    1.76    0.00    1.76    0.50    0.00    0.00    0.00    0.00    0.00   95.98
15:34:07     all    1.51    0.00    3.27    0.00    0.00    0.00    0.00    0.00    0.00   95.23
15:34:08     all    1.78    0.00    1.78    0.00    0.00    0.00    0.00    0.00    0.00   96.45
15:34:09     all    0.25    0.00    0.50    0.00    0.00    0.00    0.00    0.00    0.00   99.25
15:34:10     all    2.28    0.00    2.03    0.00    0.00    0.00    0.00    0.00    0.00   95.69
15:34:11     all    2.51    0.00    2.26    0.00    0.00    0.25    0.00    0.00    0.00   94.97
15:34:12     all    2.28    0.00    2.78    0.00    0.00    0.00    0.00    0.00    0.00   94.94
