test_mode,concurrency,client_id,start_time,end_time,duration_sec
cold,200,82,11:02:52.102,11:04:56.951,124.849
cold,200,83,11:02:52.102,11:04:56.358,124.256
cold,200,84,11:02:52.102,11:04:55.334,123.232
cold,200,85,11:02:52.102,11:04:56.641,124.539
cold,200,86,11:02:52.102,11:04:57.510,125.408
cold,200,87,11:02:52.103,11:04:56.259,124.156
cold,200,88,11:02:52.103,11:05:01.271,129.169
cold,200,89,11:02:52.103,11:04:56.959,124.856
cold,200,90,11:02:52.103,11:04:55.127,123.024
cold,200,91,11:02:52.103,11:04:56.234,124.131
cold,200,92,11:02:52.103,11:04:57.196,125.092
cold,200,93,11:02:52.104,11:04:56.506,124.402
cold,200,94,11:02:52.104,11:04:55.535,123.431
cold,200,95,11:02:52.104,11:04:52.539,120.435
cold,200,96,11:02:52.104,11:04:56.088,123.984
cold,200,97,11:02:52.104,11:05:01.257,129.153
cold,200,98,11:02:52.104,11:04:57.313,125.209
cold,200,99,11:02:52.105,11:04:57.193,125.089
cold,200,100,11:02:52.105,11:04:54.231,122.127
cold,200,101,11:02:52.106,11:05:01.271,129.165
cold,200,102,11:02:52.106,11:04:55.285,123.179
cold,200,103,11:02:52.106,11:04:57.443,125.337
cold,200,104,11:02:52.106,11:04:57.461,125.355
cold,200,105,11:02:52.106,11:04:57.518,125.412
cold,200,106,11:02:52.107,11:04:57.619,125.512
cold,200,107,11:02:52.107,11:04:54.767,122.660
cold,200,108,11:02:52.107,11:04:56.984,124.877
cold,200,109,11:02:52.107,11:04:54.441,122.334
cold,200,110,11:02:52.107,11:04:56.452,124.345
cold,200,111,11:02:52.108,11:04:55.169,123.062
cold,200,112,11:02:52.108,11:04:57.565,125.457
cold,200,113,11:02:52.108,11:04:56.634,124.526
cold,200,114,11:02:52.108,11:04:57.368,125.260
cold,200,115,11:02:52.108,11:04:56.465,124.357
cold,200,116,11:02:52.108,11:04:57.360,125.252
cold,200,117,11:02:52.109,11:05:01.172,129.064
cold,200,118,11:02:52.109,11:05:01.242,129.133
cold,200,119,11:02:52.109,11:04:57.230,125.121
cold,200,120,11:02:52.109,11:04:56.615,124.506
cold,200,121,11:02:52.109,11:05:01.198,129.089
cold,200,122,11:02:52.109,11:04:55.890,123.780
cold,200,123,11:02:52.110,11:05:01.264,129.154
cold,200,124,11:02:52.110,11:04:56.850,124.740
cold,200,125,11:02:52.110,11:05:01.272,129.162
cold,200,126,11:02:52.110,11:04:56.638,124.528
cold,200,127,11:02:52.110,11:04:57.420,125.310
cold,200,128,11:02:52.110,11:05:01.253,129.143
cold,200,129,11:02:52.111,11:04:54.353,122.243
